Timestamp,Temperature,ElapsedSecs,BatteryVoltage,LeftCount,RightCount,LeftFeedCount,FeedParadigm
7/6/2023 18:24,23.5,14.14,3.26,1,0,1,1
7/6/2023 18:24,23.5,14.82,3.26,1,0,2,1
7/6/2023 18:25,23.5,72.9,3.26,1,0,2,1
7/6/2023 18:30,23,133.74,3.25,2,0,3,1
7/6/2023 18:30,23,142.78,3.25,2,0,3,1
7/6/2023 18:35,22.5,212.77,3.24,3,0,3,1
7/6/2023 18:36,22.75,217.34,3.26,3,1,3,1
7/6/2023 18:36,22.75,217.82,3.25,3,2,3,1
7/6/2023 18:40,23.25,225.3,3.26,4,2,4,1
7/6/2023 18:40,23.25,227.76,3.25,4,2,5,1
7/6/2023 18:41,23.25,255.22,3.25,4,2,6,1
7/6/2023 18:41,23.25,258.66,3.25,4,2,7,1
7/6/2023 18:41,23.25,261.12,3.26,4,2,8,1
7/6/2023 18:41,23.25,270.35,3.25,4,2,9,1
7/6/2023 18:41,23.25,272.51,3.25,4,2,10,1
7/6/2023 18:41,23.25,283.85,3.25,4,2,10,1
7/6/2023 19:11,24,351.26,3.26,5,2,11,1
7/6/2023 19:11,24,352.67,3.26,5,2,12,1
7/6/2023 19:11,24,354.41,3.26,5,2,13,1
7/6/2023 19:11,24,355.52,3.26,5,2,14,1
7/6/2023 19:11,24,367.96,3.26,5,2,14,1
7/6/2023 20:45,24.5,433.07,3.26,6,2,15,1
7/6/2023 20:46,24.5,447.76,3.26,6,2,16,1
7/6/2023 20:46,24.5,455.67,3.26,6,2,17,1
7/6/2023 20:46,24.5,472.67,3.26,6,2,18,1
7/6/2023 20:46,24.5,473.83,3.27,6,2,19,1
7/6/2023 20:46,24.5,474.53,3.26,6,2,20,1
7/6/2023 20:46,24.5,489.9,3.26,6,2,20,1
7/6/2023 20:56,24.5,509.69,3.25,7,2,21,1
7/6/2023 20:57,24.5,536.41,3.26,7,2,22,1
7/6/2023 20:57,24.5,538.95,3.26,7,2,23,1
7/6/2023 20:57,24.5,563.02,3.26,7,2,23,1
7/6/2023 20:59,25,586.51,3.26,8,2,24,1
7/6/2023 20:59,25,587,3.27,8,2,25,1
7/6/2023 20:59,25,587.49,3.26,8,2,26,1
7/6/2023 20:59,25,604.07,3.27,8,2,27,1
7/6/2023 20:59,25,604.59,3.26,8,2,28,1
7/6/2023 20:59,25,610.15,3.26,8,2,29,1
7/6/2023 20:59,25,610.61,3.26,8,2,30,1
7/6/2023 20:59,25,611.08,3.27,8,2,31,1
7/6/2023 20:59,25,611.79,3.27,8,2,32,1
7/6/2023 20:59,25,612.3,3.27,8,2,33,1
7/6/2023 20:59,25,614.98,3.26,8,2,34,1
7/6/2023 20:59,25,615.64,3.27,8,2,35,1
7/6/2023 20:59,25,616.24,3.26,8,2,36,1
7/6/2023 20:59,25,616.7,3.27,8,2,37,1
7/6/2023 20:59,25,617.49,3.27,8,2,38,1
7/6/2023 20:59,25,618.21,3.27,8,2,39,1
7/6/2023 21:00,25,628.64,3.26,8,2,40,1
7/6/2023 21:00,25,629.14,3.27,8,2,41,1
7/6/2023 21:00,25,629.9,3.27,8,2,42,1
7/6/2023 21:00,25,631.27,3.27,8,2,42,1
7/6/2023 21:02,25,699.3,3.27,9,2,42,1
7/6/2023 21:48,24.5,730.6,3.26,9,3,42,1
7/6/2023 21:49,24.5,739.98,3.26,10,3,43,1
7/6/2023 21:49,24.5,748.05,3.26,10,3,44,1
7/6/2023 21:49,24.5,749.46,3.26,10,3,45,1
7/6/2023 21:49,24.5,750.1,3.27,10,3,46,1
7/6/2023 21:50,24.5,765.54,3.27,10,3,47,1
7/6/2023 21:50,24.5,766.01,3.26,10,3,48,1
7/6/2023 21:50,24.5,779.38,3.26,10,3,49,1
7/6/2023 21:50,24.5,780,3.26,10,3,50,1
7/6/2023 21:50,24.5,787.05,3.26,10,3,51,1
7/6/2023 21:50,24.5,790.61,3.26,10,3,52,1
7/6/2023 21:50,24.5,791.48,3.26,10,3,53,1
7/6/2023 21:50,24.5,793.32,3.26,10,3,54,1
7/6/2023 21:50,24.5,793.87,3.26,10,3,55,1
7/6/2023 21:50,24.5,794.65,3.26,10,3,55,1
7/6/2023 22:06,24.5,816.37,3.26,11,3,56,1
7/6/2023 22:06,24.5,816.83,3.26,11,3,57,1
7/6/2023 22:06,24.5,817.44,3.26,11,3,58,1
7/6/2023 22:06,24.5,818.52,3.26,11,3,59,1
7/6/2023 22:06,24.5,829.13,3.26,11,3,60,1
7/6/2023 22:06,24.5,830.11,3.27,11,3,61,1
7/6/2023 22:07,24.5,833.67,3.26,11,3,62,1
7/6/2023 22:07,24.5,838.91,3.26,11,3,63,1
7/6/2023 22:07,24.5,848.45,3.26,11,3,64,1
7/6/2023 22:07,24.5,848.97,3.26,11,3,65,1
7/6/2023 22:07,24.5,855.11,3.26,11,3,66,1
7/6/2023 22:07,24.5,858.65,3.26,11,3,67,1
7/6/2023 22:07,24.5,859.44,3.26,11,3,68,1
7/6/2023 22:07,24.5,864.16,3.27,11,3,69,1
7/6/2023 22:07,24.5,864.82,3.26,11,3,70,1
7/6/2023 22:07,24.5,867.19,3.26,11,3,71,1
7/6/2023 22:07,24.5,871.24,3.26,11,3,71,1
7/6/2023 22:10,24.5,939.73,3.27,12,3,71,1
7/6/2023 22:12,24.5,949.46,3.26,13,3,72,1
7/6/2023 22:12,24.5,950.45,3.27,13,3,73,1
7/6/2023 22:12,24.5,950.89,3.26,13,3,74,1
7/6/2023 22:12,24.5,952.07,3.26,13,3,75,1
7/6/2023 22:13,24.5,966.12,3.26,13,3,76,1
7/6/2023 22:13,24.5,968.75,3.26,13,3,77,1
7/6/2023 22:13,24.5,970.73,3.26,13,3,78,1
7/6/2023 22:13,24.5,972.18,3.26,13,3,79,1
7/6/2023 22:13,24.5,973.36,3.27,13,3,80,1
7/6/2023 22:13,24.5,974.87,3.26,13,3,81,1
7/6/2023 22:13,24.5,975.41,3.26,13,3,82,1
7/6/2023 22:13,24.5,976.99,3.27,13,3,83,1
7/6/2023 22:13,24.5,981.5,3.27,13,3,84,1
7/6/2023 22:13,24.5,982.57,3.27,13,3,85,1
7/6/2023 22:13,24.5,983.25,3.27,13,3,86,1
7/6/2023 22:13,24.5,985.2,3.26,13,3,87,1
7/6/2023 22:13,24.5,1008.34,3.26,13,3,87,1
7/6/2023 23:09,24.5,1055.18,3.26,14,3,88,1
7/6/2023 23:09,24.5,1057.95,3.26,14,3,89,1
7/6/2023 23:09,24.5,1062.08,3.26,14,3,90,1
7/6/2023 23:09,24.5,1064.34,3.26,14,3,91,1
7/6/2023 23:09,24.5,1065.17,3.26,14,3,92,1
7/6/2023 23:09,24.5,1070.6,3.27,14,3,93,1
7/6/2023 23:09,24.5,1073.01,3.26,14,3,94,1
7/6/2023 23:09,24.5,1090.69,3.27,14,3,95,1
7/6/2023 23:09,24.5,1091.82,3.27,14,3,96,1
7/6/2023 23:10,24.5,1092.27,3.26,14,3,97,1
7/6/2023 23:10,24.5,1103.42,3.26,14,3,98,1
7/6/2023 23:10,24.5,1105.79,3.26,14,3,99,1
7/6/2023 23:10,24.5,1106.22,3.26,14,3,100,1
7/6/2023 23:10,24.5,1107.83,3.26,14,3,100,1
7/6/2023 23:37,25,1190.2,3.27,15,3,100,1
7/6/2023 23:45,25,1210.01,3.26,16,3,101,1
7/6/2023 23:45,25,1213.07,3.26,16,3,102,1
7/6/2023 23:45,25,1214.26,3.26,16,3,103,1
7/6/2023 23:45,25,1218.28,3.26,16,3,104,1
7/6/2023 23:45,25,1224.86,3.27,16,3,105,1
7/6/2023 23:45,25,1226.13,3.27,16,3,106,1
7/6/2023 23:45,25,1226.91,3.26,16,3,107,1
7/6/2023 23:45,25,1229.36,3.27,16,3,108,1
7/6/2023 23:45,25,1231.44,3.27,16,3,109,1
7/6/2023 23:45,25,1234.05,3.26,16,3,110,1
7/6/2023 23:45,25,1235.38,3.26,16,3,111,1
7/6/2023 23:45,25,1236.26,3.26,16,3,112,1
7/6/2023 23:45,25,1237.45,3.26,16,3,113,1
7/6/2023 23:45,25,1238.45,3.27,16,3,114,1
7/6/2023 23:45,25,1238.91,3.25,16,3,115,1
7/6/2023 23:45,25,1248.62,3.27,16,3,116,1
7/6/2023 23:45,25,1249.1,3.26,16,3,117,1
7/6/2023 23:45,25,1253.98,3.26,16,3,118,1
7/6/2023 23:45,25,1255.54,3.27,16,3,119,1
7/6/2023 23:45,25,1256,3.26,16,3,120,1
7/6/2023 23:45,25,1258.05,3.27,16,3,121,1
7/6/2023 23:46,25,1262.16,3.27,16,3,121,1
7/7/2023 0:07,24.5,1278.77,3.26,16,4,121,1
7/7/2023 0:30,24,1292.79,3.25,16,5,121,1
7/7/2023 0:30,24,1293.39,3.27,16,6,121,1
7/7/2023 0:31,24,1309.13,3.27,17,6,122,1
7/7/2023 0:31,24,1311.19,3.26,17,6,123,1
7/7/2023 0:31,24,1312.29,3.26,17,6,124,1
